text,norm,loc,per,org
17 февраля 1993 Постановлением Правительства РФ во исполнение Указа Президента РФ Государственный газовый концерн «Газпром» преобразован в Российское акционерное общество.,17 февраль 1993 постановление правительство рф в исполнение указ президент рф государственный газовый концерн « газпром » преобразовать в российский акционерный общество .,РФ,,Газпром Правительство Российское акционерное общество
6 января 1993 Распоряжением Президента РФ Председателем Совета директоров — Председателем Правления РАО «Газпром» назначен Рем Вяхирев. Занимал пост Председателя Совета директоров по 31 мая 1996 года.,6 январь 1993 распоряжение президент рф председатель совет директор — председатель правление рао « газпром » назначить рем вяхирев . занимать пост председатель совет директор по 31 май 1996 год .,РФ,Рем Вяхирев,РАО «Газпром» Совет директоров
апрель 1994 Началась приватизация «Газпрома».,апрель 1994 начаться приватизация « газпром » .,,,Газпром
31 мая 1995 Состоялось первое годовое Общее собрание акционеров «Газпрома».,31 май 1995 состояться первый годовой общий собрание акционер « газпром » .,,,Газпром
"август 1995 Состоялась официальная презентация центрального офиса «Газпрома» в Москве на улице Наметкина, д. 16.","август 1995 состояться официальный презентация центральный офис « газпром » в москва на улица наметкин , д . 16 .",Москва Наметкин,,Газпром
23 октября 1996 В Беларуси сварен первый стык газопровода «Ямал — Европа».,23 октябрь 1996 в беларусь сварить первый стык газопровод « ямал — европа » .,Беларусь,,
"15 декабря 1997 Подписано межправительственное соглашение о поставках российского газа в Турцию, давшее старт проекту «Голубой поток» — первому экспортному морскому газопроводу из России.","15 декабрь 1997 подписать межправительственный соглашение о поставка российский газ в турция , дать старт проект « голубой поток » — первый экспортный морской газопровод из россия .",Турция Россия,,
26 июня 1998 Решением собрания акционеров РАО «Газпром» преобразовано в Открытое акционерное общество.,26 июнь 1998 решение собрание акционер рао « газпром » преобразовать в открытый акционерный общество .,,,Открытое акционерное общество РАО «Газпром»
27 июня 1999 Председателем Совета директоров ОАО «Газпром» избран Виктор Черномырдин (занимал этот пост по июнь 2000 года).,27 июнь 1999 председатель совет директор оао « газпром » избрать виктор черномырдин ( занимать этот пост по июнь 2000 год ) .,,Виктор Черномырдин,Совет директора ОАО «Газпром»
"ноябрь 1999 Начались коммерческие поставки газа по газопроводу «Ямал — Европа», построенному по территории России, Беларуси, Польши и Германии.","ноябрь 1999 начаться коммерческий поставка газ по газопровод « ямал — европа » , построить по территория россия , беларусь , польша и германия .",Польша Германия Россия Беларусь,,
3 февраля 2000 В Краснодарском крае сварен первый стык газопровода «Голубой поток».,3 февраль 2000 в краснодарский край сварить первый стык газопровод « голубой поток » .,Краснодарский край,,
30 июня 2000 Председателем Совета директоров «Газпрома» избран Дмитрий Медведев (занимал этот пост по июнь 2001 года). Повторно был избран в июне 2002 года и занимал этот пост шесть лет до избрания Президентом России.,30 июнь 2000 председатель совет директор « газпром » избрать дмитрий медведев ( занимать этот пост по июнь 2001 год ) . повторно быть избрать в июнь 2002 год и занимать этот пост шесть год до избрание президент россия .,Россия,Дмитрий Медведев,Газпром Совет директоров
30 мая 2001 Председателем Правления «Газпрома» избран Алексей Миллер.,30 май 2001 председатель правление « газпром » избрать алексей миллер .,,Алексей Миллер,Газпром
