,date,day,month,year
0,1993-02-17,17,2,1993
1,1996-05-31,31,5,1996
1,1993-01-06,6,1,1993
2,1994-04-01,1,4,1994
3,1995-05-31,31,5,1995
4,1995-08-01,1,8,1995
5,1996-10-23,23,10,1996
6,1997-12-15,15,12,1997
7,1998-06-26,26,6,1998
8,2000-06-01,1,6,2000
8,1999-06-27,27,6,1999
9,1999-11-01,1,11,1999
10,2000-02-03,3,2,2000
11,2002-06-01,1,6,2002
11,2000-06-30,30,6,2000
11,2001-06-01,1,6,2001
12,2001-05-30,30,5,2001
13,2002-06-01,1,6,2002
13,2001-06-29,29,6,2001
14,2001-10-31,31,10,2001
15,2002-07-06,6,7,2002
16,2002-11-18,18,11,2002
17,2003-02-20,20,2,2003
18,2004-10-02,2,10,2004
19,2005-09-02,2,9,2005
20,2005-09-08,8,9,2005
21,2005-10-21,21,10,2005
21,2006-06-01,1,6,2006
22,2005-12-01,1,12,2005
23,2006-08-18,18,8,2006
24,2006-12-21,21,12,2006
25,2007-04-25,25,4,2007
26,2007-05-24,24,5,2007
27,2007-12-18,18,12,2007
28,2008-06-27,27,6,2008
29,2008-11-12,12,11,2008
30,2008-12-03,3,12,2008
31,2009-02-18,18,2,2009
32,2009-08-26,26,8,2009
33,2014-01-01,1,1,2014
33,2009-09-28,28,9,2009
34,2009-10-30,30,10,2009
35,2010-02-12,12,2,2010
36,2010-04-09,9,4,2010
37,2010-09-29,29,9,2010
38,2011-04-07,7,4,2011
39,2011-06-06,6,6,2011
40,2011-08-26,26,8,2011
41,2011-09-08,8,9,2011
42,2011-10-07,7,10,2011
43,2011-11-08,8,11,2011
44,2011-11-21,21,11,2011
45,2011-11-25,25,11,2011
46,2012-03-23,23,3,2012
47,2012-10-08,8,10,2012
48,2012-10-23,23,10,2012
49,2012-10-31,31,10,2012
50,2012-12-01,1,12,2012
51,2012-12-05,5,12,2012
52,2013-01-15,15,1,2013
53,2013-01-21,21,1,2013
54,2013-09-23,23,9,2013
55,2013-10-04,4,10,2013
56,2013-10-23,23,10,2013
57,2013-12-20,20,12,2013
58,2014-01-01,1,1,2014
59,2014-01-16,16,1,2014
60,2014-04-10,10,4,2014
61,2014-05-21,21,5,2014
62,2014-05-31,31,5,2014
63,2014-09-01,1,9,2014
64,2014-12-02,2,12,2014
65,2015-05-08,8,5,2015
66,2015-07-21,21,7,2015
67,2015-09-04,4,9,2015
68,2015-10-14,14,10,2015
69,2015-10-27,27,10,2015
70,2015-12-22,22,12,2015
71,2016-05-25,25,5,2016
72,2016-06-30,30,6,2016
73,2016-09-16,16,9,2016
74,2016-09-21,21,9,2016
75,2016-09-22,22,9,2016
76,2016-12-09,9,12,2016
77,2017-01-18,18,1,2017
78,1995-05-31,31,5,1995
79,2017-05-07,7,5,2017
80,2017-08-03,3,8,2017
81,2017-09-25,25,9,2017
82,2017-12-01,1,12,2017
83,2018-03-13,13,3,2018
84,2018-09-05,5,9,2018
85,2018-11-19,19,11,2018
86,2018-12-05,5,12,2018
87,2018-12-05,5,12,2018
88,2018-12-19,19,12,2018
89,2019-01-08,8,1,2019
90,2019-03-20,20,3,2019
91,2019-05-17,17,5,2019
92,2019-06-28,28,6,2019
93,2019-12-02,2,12,2019
94,2020-01-08,8,1,2020
95,2020-10-08,8,10,2020
97,2021-04-20,20,4,2021
98,2021-05-21,21,5,2021
99,2021-06-09,9,6,2021
100,2021-08-04,4,8,2021
101,2021-09-03,3,9,2021
102,2021-09-03,3,9,2021
103,2021-09-10,10,9,2021
104,2021-09-27,27,9,2021
105,2022-02-04,4,2,2022
106,2022-03-23,23,3,2022
107,1700-09-06,6,9,1700
108,1700-09-29,29,9,1700
109,1700-09-30,30,9,1700
109,2022-01-01,1,1,2022
110,1700-12-21,21,12,1700
111,1700-12-06,6,12,1700
112,1700-12-02,2,12,1700
