norm,loc,per,org
17 февраль 1993 постановление правительство рф в исполнение указ президент рф государственный газовый концерн « газпром » преобразовать в российский акционерный общество .,РФ,,Российское акционерное общество Правительство Газпром
6 январь 1993 распоряжение президент рф председатель совет директор — председатель правление рао « газпром » назначить рем вяхирев . занимать пост председатель совет директор по 31 май 1996 год .,РФ,Рем Вяхирев,Совет директоров РАО «Газпром»
апрель 1994 начаться приватизация « газпром » .,,,Газпром
31 май 1995 состояться первый годовой общий собрание акционер « газпром » .,,,Газпром
"август 1995 состояться официальный презентация центральный офис « газпром » в москва на улица наметкин , д . 16 .",Москва Наметкин,,Газпром
23 октябрь 1996 в беларусь сварить первый стык газопровод « ямал — европа » .,Беларусь,,
"15 декабрь 1997 подписать межправительственный соглашение о поставка российский газ в турция , дать старт проект « голубой поток » — первый экспортный морской газопровод из россия .",Россия Турция,,
26 июнь 1998 решение собрание акционер рао « газпром » преобразовать в открытый акционерный общество .,,,Открытое акционерное общество РАО «Газпром»
27 июнь 1999 председатель совет директор оао « газпром » избрать виктор черномырдин ( занимать этот пост по июнь 2000 год ) .,,Виктор Черномырдин,ОАО «Газпром» Совет директора
"ноябрь 1999 начаться коммерческий поставка газ по газопровод « ямал — европа » , построить по территория россия , беларусь , польша и германия .",Россия Германия Польша Беларусь,,
3 февраль 2000 в краснодарский край сварить первый стык газопровод « голубой поток » .,Краснодарский край,,
30 июнь 2000 председатель совет директор « газпром » избрать дмитрий медведев ( занимать этот пост по июнь 2001 год ) . повторно быть избрать в июнь 2002 год и занимать этот пост шесть год до избрание президент россия .,Россия,Дмитрий Медведев,Совет директоров Газпром
30 май 2001 председатель правление « газпром » избрать алексей миллер .,,Алексей Миллер,Газпром
29 июнь 2001 председатель совет директор « газпром » избрать рем вяхирев ( занимать этот пост по июнь 2002 год ) .,,Рем Вяхирев,Совет директоров Газпром
31 октябрь 2001 начать добыча газ на заполярный месторождение — один из крупный в мир .,Заполярное,,
6 июль 2002 распоряжение правительство рф « газпром » поручить координация реализация государственный восточный газовый программа .,РФ,,Газпром
18 ноябрь 2002 « газпром » принять решение о начало реализация проект « северный поток » — принципиально новый маршрут поставка газ из россия в европа через балтийский море .,Европа Россия Балтийское море,,Газпром
20 февраль 2003 начаться коммерческий поставка газ по « голубой поток » .,,,
2 октябрь 2004 заполярный месторождение вывести на производительность 100 млрд куб . м газ в год .,,,
"2 сентябрь 2005 первый поставка сжидить природный газ , осуществить « газпром » — танкер с газ прибыть на регазификационный терминал в сша .",США,,Газпром
"8 сентябрь 2005 « газпром » , basf и e . on подписать принципиальный соглашение о строительство « северный поток » .",,,E.ON BASF Газпром
"21 октябрь 2005 « газпром » получить контроль над 75,679 % акция « сибнефть » , который стать фундамент для дальнейший развитие его нефтяной бизнес ( с июнь 2006 год — « газпром нефть » ) .",,,Сибнефть Газпром Газпром нефть
"декабрь 2005 законодательный закрепить , что государство не мочь принадлежать менее чем 50 % плюс один акция компания . снять ограничение на приобретение акция « газпром » иностранный инвестор .",,,Газпром
"18 август 2006 первый поставка спг « газпром » на рынок страна азия , покупатель партия газ стать япония .",Япония Азия,,Газпром
21 декабрь 2006 « газпром » стать участник « сахалина-2 » — первый в россия проект по производство спг .,Россия,,Газпром Сахалина-2
"25 апрель 2007 совет директор утвердить стратегия в электроэнергетика , реализация который сделать « газпром » крупный производитель электроэнергия в россия среди компания тепловой генерация .",Россия,,Совет директоров Газпром
"24 май 2007 завершить строительство первый очередь пхг « хайд » в австрия — первый объект подземный хранение газ в европа , создать при участие « газпром » .",Австрия Европа,,Газпром Хайдах
"18 декабрь 2007 ввести в эксплуатация южнорусский нефтегазовый месторождение — первый совместный с зарубежный партнер проект по добыча газ в россия , реализовать на база обмен актив .",Россия Южно-Русское,,
27 июнь 2008 председатель совет директор « газпром » избрать виктор зубков .,,Виктор Зубков,Совет директоров Газпром
12 ноябрь 2008 совместно с wintershall ввести в опытно-промышленный эксплуатация первый участок труднодоступный ачимовский залежь уренгойский месторождение .,Уренгойское,,Wintershall
"3 декабрь 2008 начаться реализация мегапроект « ямал » — сварить первый стык система магистральный газопровод « бованенково — ухта » , для транспортировка газ бованенковский месторождение — крупный на полуостров ямал .",Ухта Бованенковского Ямал Бованенково,,
18 февраль 2009 на сахалин запустить первый в россия завод по производство сжидить природный газ .,Россия Сахалин,,
"26 август 2009 ввести в эксплуатация газопровод « дзуарикау — цхинвал » — уникальный сооружение , который пролегать в горный часть большой кавказ на высота более 1500 м .",Большой Кавказ Дзуарикау,,
28 сентябрь 2009 начать строительство газопровод « джубга — лазаревский — сочи » и адлерский тэс для обеспечение энергоснабжение город сочи и объект зимний олимпийский игра в 2014 год .,Джубга Лазаревское Сочи,,Адлерской ТЭС
30 октябрь 2009 « газпром » начать самостоятельный добыча газ на второй участок ачимовский залежь уренгойский месторождение .,Уренгойское,,Газпром
12 февраль 2010 в кемеровский область начать работа первый в россия промысел по добыча метан из угольный пласт .,Россия Кемеровская область,,
9 апрель 2010 начать строительство « северный поток » .,,,
"29 сентябрь 2010 ввести в эксплуатация магистральный газопровод « соболевый — петропавловск-камчатский » , по который природный газ впервые прийти в столица камчатский край .",Камчатский край Соболево Петропавловск-Камчатский,,
7 апрель 2011 « газпром » начать добыча газ и конденсат из валанжинский залежь заполярный месторождение .,Заполярное,,Газпром
6 июнь 2011 ввести в эксплуатация газопровод « джубга — лазаревский — сочи » — первый морской газопровод в россия .,Россия Джубга Лазаревское,,
26 август 2011 на приразломный нефтяной месторождение в печорский море доставить морской ледостойкий стационарный платформа .,Печорское море Приразломное,,
8 сентябрь 2011 ввести в эксплуатация первый пусковой комплекс первый на дальний восток межрегиональный газотранспортный система « сахалин — хабаровск — владивосток » .,Хабаровск Владивосток Сахалин Дальний Восток,,
"7 октябрь 2011 « газпром » получить лицензия на ковыктинский месторождение , на база который быть создать иркутский центр газодобыча .",Ковыктинское,,Иркутский центр Газпром
8 ноябрь 2011 начать коммерческий поставка газ по газопровод « северный поток » .,,,
"21 ноябрь 2011 ввести в эксплуатация пхг « банатский двор » в сербия , создать « газпром » и « сербиягаз » .",Сербия,,Банатский двор Газпром Сербиягазом
25 ноябрь 2011 « газпром » завершить приобретение 100 процент акция оао « белтрансгаз » ( после завершение сделка — « газпром трансгаз беларусь » ) и стать владелец белорусский газотранспортный система .,,,Газпром трансгаз Беларусь Газпром ОАО «Белтрансгаз»
"23 март 2012 запустить парогазовый установка мощность 800 мвт на киришский грэс . это крупный объект тепловой генерация , ввести за предшествовать 30 год , и самый мощный на момент запуск парогазовый энергоблок в россия .",Россия,,Киришской ГРЭС
8 октябрь 2012 ввести в эксплуатация второй нитка « северный поток » .,,,
23 октябрь 2012 в россия появиться новый крупный центр газодобыча — полуостров ямал . ввести в эксплуатация бованенковский месторождение и магистральный газопровод « бованенково — ухта » .,Россия Бованенковское Бованенково Ухта Ямал,,
31 октябрь 2012 « газпром » приступить к формирование центр газодобыча в якутия . принять инвестиционный решение по обустройство чаяндинской месторождение и строительство газопровод от якутия до благовещенск — первый участок новый гтс « сила сибирь » .,Якутия Чаяндинское Благовещенск,,Газпром
декабрь 2012 « газпром » начать работа по вывод рынок газомоторный топливо в россия на принципиально новый уровень развитие .,Россия,,Газпром
5 декабрь 2012 « газпром » совершить первый в мир поставка спг по северный морской путь — наиболее короткий маршрут между северный европа и северо-восточный азия .,Северо-Восточная Азия Северная Европа,,Газпром
"15 январь 2013 заполярный месторождение вывести на полный проектный мощность — 130 млрд куб . м газ в год , что сделать он самый мощный месторождение в россия .",Россия,,
21 январь 2013 ввести в эксплуатация адлерский тэс — самый современный объект энергогенерация сочи .,Сочи,,Адлерская ТЭС
"23 сентябрь 2013 ввести в эксплуатация калининградский подземный хранилище газ — первый в россия , создать в отложение каменный соль .",Россия Калининградское,,
4 октябрь 2013 « газпром » начать промышленный добыча газ на месторождение « мокнуть тинь » и « хай тхать » на шельф вьетнам .,Вьетнам,,Мок Тинь Газпром
23 октябрь 2013 « газпром » первый в россия начать использовать подводный технология добыча газ — на киринский месторождение на шельф сахалин .,Россия Сахалин Киринское,,Газпром
20 декабрь 2013 начать добыча нефть на приразломный месторождение . это первый в история россия проект по освоение ресурс шельф арктика .,Арктика Россия Приразломное,,
к начало зимний олимпийский игра 2014 год в сочи « газпром » ввести в эксплуатация ряд ключевой энергетический и спортивный объект . газопровод « джубга — лазаревский — сочи » и адлерский тэс обеспечить надежный энергоснабжение город и прилегать район .,Джубга Лазаревское Сочи,,Адлерская ТЭС Газпром
"16 январь 2014 « газпром » увеличить до 100 % доля в « армросгазпром » ( после завершение сделка — « газпром армения » ) , который владеть газотранспортный актив на территория армения и осуществлять поставка газ потребитель республика .",Армения,,Газпром Армения Газпром АрмРосгазпром
"10 апрель 2014 « газпром » приобрести 100 % доля в уставный капиталь « кыргызгазпром » ( после завершение сделка — « газпром кыргызстан » ) — эксклюзивный импортер природный газ в киргизия , собственник газотранспортный и газораспределительный система республика .",Киргизия,,Газпром Кыргызстан КыргызгазПром Газпром
21 май 2014 « газпром » и cnpc подписать крупный в отечественный история 30-летний договор купля-продажа российский трубопроводный газ .,,,Газпром CNPC
31 май 2014 начать коммерческий добыча и отгрузка нефть с месторождение « бадра » в ирак .,Ирак,,
1 сентябрь 2014 дан старт строительство газопровод « сила сибирь » .,,,
2 декабрь 2014 « газпром » и botas petroleum pipeline corporation подписать меморандум о взаимопонимание по строительство морской газопровод через черный море в направление турция ( проект « турецкий поток » ) .,Турция Черное море,,Газпром Botas Petroleum Pipeline Corporation
8 май 2015 « газпром » и cnpc подписать соглашение о основный условие поставка газ в китай по « западный » маршрут .,Китай,,Газпром CNPC
21 июль 2015 « газпром » стать публичный акционерный общество .,,,Публичное акционерное общество Газпром
"4 сентябрь 2015 « газпром » и wintershall подписать соглашение о закрытие сделка по обмен актив . « газпром » увеличить до 100 % свой доля в wingas , wieh и wiee , а также до 50 % доля в winz . wintershall получить 25,01 % в проект по разработка участок 4 а и 5 а ачимовский отложение уренгойский месторождение .",Уренгойское,,WINGAS WIEH Газпром WINZ Wintershall
